ServicesCentreID,Title,Address1,Address2,City,ProvinceID,PostalCode,Lat,Lon,StoreFront,EnglishService,FrenchService,Phone,Fax,Email,Website,OpeningHours,CatchmentAreaID,ServicesCentreContractorID,LegacyURL
28,Richmond,#290 – 3631 No 3 Road,,Richmond,2,V6X 2B9,49.187775,-123.134254,1,1,0,778-732-0285,778-732-0281,aviarichmond@aviaemployment.ca,http://www.letsgetbctowork.ca/,8:00 am to 5:00 pm,71,12,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
29,Vancouver Northeast,312–2555 Commercial Drive,,Vancouver,2,V5N 4C1,49.261584,-123.070027,1,1,1,604-708-9300,604-708-9314,mosaic@mosaicbc.com,http://www.mosaicbc.com/,"8:30 am to 5:00 PM, Monday & Tuesday
8:30 am to 3:00 pm, Wednesday
8:30 am to 5:00 PM, Thursday & Friday",95,15,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
30,Vancouver Downtown Eastside,112 West Hastings Street,,Vancouver,2,V6K 2C8,49.282054,-123.107526,1,1,1,604-872-0770,604-873-1758,info@opendoorgroup.org,http://www.opendoorgroup.org/,"8:00 am to 4:30 pm, Monday to Friday",93,16,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
31,Vancouver City Centre,1033 Davie Street,,Vancouver,2,V6E 1M7,49.279856,-123.129971,1,1,1,604-434-0367,604-694-1077,citycentre-esc@fsgv.ca,http://www.fsgv.ca/,"9:00 am to 5:30 pm, Monday to Thursday
9:00 am to 3:00 pm, Friday",92,17,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
32,North Vancouver,310-260 West Esplanade,,North Vancouver,2,V7M 3G7,49.313619,-123.084648,1,1,0,604-988-3766,604-988-7153,escnorthshore@ywcavan.org,http://www.ywcajobseeker.org/,"8:30 am to 5:00 pm, Monday, Tuesday
&Thursday
10:00 am to 5:00 pm, Wednesday
8:30 am to 4:00 pm, Friday",55,13,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
33,Sechelt,5600 Sunshine Coast Hwy,,Sechelt,2,V0N 3A0,49.474208,-123.752591,1,1,0,604-885-3351,604-885-3361,info@opendoorgroup.org,http://www.opendoorgroup.org/,"8:30 am to 4:30 pm, Monday to Friday",76,16,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
34,Squamish,302 - 37989 Cleveland Avenue,,Squamish,2,V8B 0C3,49.698204,-123.153718,1,1,0,604-815-4550,604-815-4510,info@squamishesc.com,http://www.squamishesc.com/,"8:30 am to 5:00 pm, Monday to Friday
8:30 am to 8:00 pm, Thursdays",81,18,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
35,Whistler,#204 – 1200 Alpha Lake Road,,Whistler,2,V0N 1B1,50.088772,-123.039092,1,1,0,604-932-1600,604-932-1670,nfo@whistleresc.com,http://www.whistleresc.com/,"9:30 am to 6:00 pm, Monday to Friday
9:30 am to 8:00 pm, Wednesdays",101,18,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
36,Maple Ridge,#170 - 22470 Dewdney Trunk Road,,Maple Ridge,2,V2X 5Z6,49.220468,-122.599257,1,1,0,604 466-4600,604-466-4620,info@workbcmapleridge.ca,http://www.workbcmapleridge.ca/,8:30 am to 5:00 pm,45,19,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
37,Lillooet,639B Main Street,,Lillooet,2,V0K 1V0,50.693165,-121.934505,1,1,0,250-256-7758,250-256-7768,info@opendoorgroup.org,http://www.opendoorgroup.org/,"8:30 am to 4:30 pm, Monday to Friday",43,16,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
38,Abbotsford,103 - 33255 South Fraser Way,,Abbotsford,2,V2S 2B2,49.050447,-122.30349,1,1,1,604-859-4500,604-855-5195,storefront@abbotsfordworks.com,http://www.abbotsfordworks.com/,8:30 am to 4:30 pm,2,20,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
39,Mission,209-33123 1st Avenue,,Mission,2,V2V 1G5,49.13435,-122.306536,1,1,0,604-826-0626,604-826-0697,manager@missioncsc.org,http://www.FVESSC.com/,8:30 AM – 4:30 Monday to Friday,48,21,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
40,Agassiz,7086 Pioneer Avenue,,Agassiz,2,V0M 1A1,49.23885,-121.763701,1,1,0,604-796-0266,604-796-0267,intake@workbcagassiz.com,http://www.FVESSC.com/,"9:00 am to 5:00 pm, Monday to Wednesday
and Friday
9:00 am to 7:00 pm, Thursday
9:30 am, to 1:30 pm, Saturday",3,21,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
41,Chilliwack,46151 Yale Road,,Chilliwack,2,V2P 2P2,49.171347,-121.951891,1,1,1,604 795-9675,604 795-9648,chilliwack@gthiringsolutions.ca,http://www.gthiringsolutions.ca/,"8:30 am to 5:00 pm, Monday to Wednesday
8:30 am to 3:00 pm, Thursday
8:30 am to 4:30 pm, Friday
Excluding Statutory Holidays",14,6,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
42,Chilliwack,101 - 5658 Vedder Road,,Chilliwack,2,V2R 3M9,49.105341,-121.961216,2,1,0,604 858-5472,604 858-5478,chilliwack@gthiringsolutions.ca,http://www.gthiringsolutions.ca/,"8:15 am to 4:30 pm, Monday to Wednesday &
Friday
8:15 am to 3:45 pm, Thursday
Excluding Statutory Holidays",13,22,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
43,Hope,895 Third Avenue,,Hope,2,V0X 1L4,49.378047,-121.440421,1,1,0,604 869-2279,604 869-8208,info@freereinassociates.ca,http://www.FVESSC.com/,"8:00 am – 5:00 pm, Monday to Thursday
8:00 am – 2:00 pm, Friday",33,21,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
44,Langley,#101 & 102 – 20316 56th Avenue,,Langley,2,V3A 3Y7,49.104621,-122.690149,1,1,0,778 726-0288,778 726-0291,avialangley@aviaemployment.ca,http://www.letsgetbctowork.ca/,8:00 am to 5:00 pm,42,12,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
45,Coquitlam,#202 - 405 North Road,,Coquitlam,2,V3K 3V9,49.246247,-122.892601,1,1,0,604 424-9510,778 730-0165,aviacoquitlam@aviaemployment.ca,http://www.letsgetbctowork.ca/,8:00 am to 5:00 pm,17,12,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
46,Coquitlam,#221 - 3030 Lincoln Avenue,,Coquitlam,2,V3B 6B4,49.279006,-122.790532,2,1,0,778 730-0174,778 374-0369,aviacoquitlam@aviaemployment.ca,http://www.letsgetbctowork.ca/,8:00 am to 5:00 pm,16,12,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
47,Port Coquitlam,#206/208 - 2540 Shaughnessy St.,,Port Coquitlam,2,V3C 3G2,49.261568,-122.782077,1,1,0,778 730-0171,778 730-0168,aviaportcoquitlam@aviaemployment.ca,http://www.letsgetbctowork.ca/,8:00 am to 5:00 pm,62,12,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
48,Port Moody,601 - 130 Brew Street,,Port Moody,2,V3H 0E3,49.279964,-122.828594,1,1,0,604 917-0286,604 917-0287,info@portmoodyesc.com,http://www.portmoodyesc.com/,"8:30 am to 5:00 pm, Monday to Friday8:30 am to 8:00 pm, Thursdays",64,18,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
49,Burnaby,Metrotower 1Suite 726 - 4710 Kingsway,,Burnaby,2,V5H 4M2,49.226202,-123.001288,1,1,0,604 430-5627,604 434-5648,burnaby@gthiringsolutions.ca,http://www.gthiringsolutions.ca/,"8:30 am to 5:00 pm, Monday to Wednesday8:30 am to 3:00 pm, Thursday8:30 am to 4:30 pm, Friday, Excluding Statutory Holidays",8,6,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
50,Burnaby,600 - 1901 Rosser Avenue,,Burnaby,2,V5C 6S3,49.267032,-123.006264,2,1,0,604 451-4593,604 451-4596,burnaby@gthiringsolutions.ca,http://www.gthiringsolutions.ca/,"8:30 am to 5:00 pm, Monday to Wednesday8:30 am to 3:00 pm, Thursday8:30 am to 4:30 pm, Friday, Excluding Statutory Holidays",9,22,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
51,Burnaby,"7297 KingswayBurnaby, BC",,Burnaby,2,V5E 1G5,49.218379,-122.952918,3,1,0,604-636-1124,604-636-4743,burnaby@gthiringsolutions.ca,http://www.gthiringsolutions.ca/,"8:30 am to 5:00 pm, Monday to Wednesday8:30 am to 3:00 pm, Thursday8:30 am to 4:30 pm, Friday, Excluding Statutory Holidays",7,22,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
52,New Westminster,519 Seventh Street,,New Westminster,2,V3M 6A7,49.210972,-122.920156,1,1,0,604 522-9701,604 522-4792,reception@fraserworks.ca,http://www.fraserworks.ca/,"8:30 am to 4:40 pm, Monday to Friday",54,21,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
53,Surrey Fleetwood/ Guildford,Suite 202 - 10334 152A Street,,Surrey,2,V3R 7P8,49.190097,-122.799511,1,1,0,604 580-9740,604 580-9732,info@surreyfleetwoodguildfordesc.ca,http://www.surreyfleetwoodguildfordesc.ca/,"8:30 am to 4:30 pm, Monday to Friday",84,14,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
54,Surrey Cloverdale,"Suite 101, 5783 – 176A Street",,Surrey,2,V3S 6S6,49.107755,-122.733734,2,1,0,604 576-3118,604 576-3119,cloverdale.esc@sourcesbc.ca,http://www.sourcesbc.ca/,8:30 am to 4:30 pm,83,23,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
55,Surrey Newton,#240 – 7525 King George Boulevard,,Surrey,2,V3W 5A8,49.139547,-122.845855,1,1,0,778 578-4272,778 593-0226,avianewton@aviaemployment.ca,http://www.letsgetbctowork.ca/,8:00 am to 5:00 pm,85,12,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
56,South Surrey,#208 1461 Johnston Road,,White Rock,2,V4B 0A2,49.028589,-122.801263,1,1,0,604 542-7590,604 531-6740,whiterock.esc@sourcesbc.ca,http://www.sourcesbc.ca/,8:30 am to 4:30 pm.,80,23,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
57,Surrey Whalley,13655 104th Avenue,,Surrey,2,V3T 4M4,49.191662,-122.844009,1,1,0,604 584-0003,604 584-0002,contactWESC@options.bc.ca,http://www.whalleyESC.ca/,"8:00 am to 4:00 pm, Monday to Friday",86,24,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
58,Fernie,302C - 2nd Avenue,,Fernie,2,V0B 1M0,49.501412,-115.063221,1,1,0,250 423-4204,250-423-6238,info@evemployment.org,http://www.ekemployment.org/,"9:00 am to 5:00 pm, Monday to Friday Closed on all statutory holidays",26,25,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
59,Cranbrook,24 11th Avenue South,,Cranbrook,2,V1C 2P1,49.511454,-115.766208,1,1,0,250 489-5117,250-489-0663,info@ekemployment.org,http://www.ekemployment.org/,"9:00 am to 5:00 pm, Monday to Thursday8:30 am to 2:30 pm, Friday Closed on weekends and all statutory holidays",19,25,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
60,Golden,#205 - 421 9th Avenue,,Golden,2,V0A 1H2,51.299864,-116.966222,2,1,0,250 344-5413,250 344-2515,gesinfo@ekemployment.org,http://www.ekemployment.org/,9:00 am to 4:30 pmClosed for 1 hour lunch,29,25,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
61,Invermere,"#2 - 1313 7th Avenue, Invermere, BC",,Invermere,2,V0A 1K0,50.503432,-116.027098,3,1,0,250 341-6889,250 341-6886,cvinfo@ekemployment.org,http://www.ekemployment.org/,"9:00 am to 4:00 pm, Monday to Friday Closed 12-1:00 pm Closed all statutory holidays",35,25,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
62,Creston,119 – 11th Avenue North,,Creston,2,V0B 1G0,49.09566,-116.511904,1,1,0,250-428-5655,250-428-5336,kesadmin@kes.bc.ca,http://www.kes.bc.ca/,"8:00 am to 4:00 pm, Monday to Friday",20,25,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
63,Nelson,Suite 203 - 514 Vernon Street,,Nelson,2,V1L 4E7,49.492785,-117.29404,1,1,0,250 352-6200,250 352-6203,info@kcds.ca,http://www.kcds.ca/,8:30 am to 4:30 pm,52,25,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
64,Nelson,"Suite B - 1020 Columbia AvenueCastlegar, BC",,Castlegar,2,V1N 1H2,49.31401,-117.663114,2,1,0,250 365-6515,250 365-6559,info@kcds.ca,http://www.kcds.ca/,8:30 am to 4:30 pm,53,25,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
65,Nakusp,"Suite B - 1020 Columbia AvenueCastlegar, BC",,205 – 6th Avenue NW,2,V0G 1R0,50.241743,-117.804693,1,1,0,250 265-3318,250 265-3378,outreach@aslcs.com,http://www.aslcs.com/,"8:30 am to 4:30 pm, Monday to Friday",49,26,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
66,Trail,#123-1290 Esplanade Avenue,,Trail,2,V1R 4T2,49.09674,-117.7069,1,1,0,250 368-6360,250 368-6360,jobs@communityskillscentre.com,http://www.communityskillscentre.com/,"8:30 am to 4:30 pm, Monday to FridayClosed on Statutory Holidays",89,27,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
67,Grand Forks,1647 Central Avenue,,Grand Forks,2,V0H 1H0,49.029529,-118.455751,1,1,0,250 442-2722,250 442-5311,reception@boundarycf.com,http://www.boundarycf.com/,"8:30am to 4:30 pm, Monday to Friday",30,28,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
68,Oliver,"291 Fairview Road, Unit D&E",,Oliver,2,V0H 1T0,49.18285,-119.54914,1,1,0,250 498-2911,250 498-2944,info@opendoorgroup.org,http://www.opendoorgroup.org/,"8:30 am to 4:30 pm, Monday to Friday",56,16,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
69,Osoyoos,"#4 - 9150 Main Street, RR 2",,Osoyoos,2,V0H 1V2,49.035134,-119.474475,2,1,0,250 495-7731,250 495-7797,info@opendoorgroup.org,http://www.opendoorgroup.org/,"8:30 am to 4:30 pm, Monday to Friday",57,16,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
70,Penticton,50 Calgary Avenue,,Penticton,2,V2A 2T6,49.485831,-119.586881,1,1,0,250-770-5627,250-492-8190,reception@ymcaokanagan.ca,http://www.ymcaworkbc.ca/,"8:00 am to 4:30 pm, Monday, Tuesday & Thursday10:00 am to 4:30 pm, Wednesday8:00 am to 4:00 pm, Friday",59,29,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
71,Penticton,206 Vermillion Avenue,,Princeton,2,V0X 1W0,49.460145,-120.508019,2,1,1,250-770-5627,250-295-4177,reception@ymcaokanagan.ca,http://www.ymcaworkbc.ca/,"8:00 am to 4:30 pm, Monday, Tuesday & Thursday10:00 am to 4:30 pm, Wednesday8:00 am to 4:00 pm, Friday",60,29,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
72,Summerland,103 - 13415 Rosedale Avenue,,Summerland,2,V0H 1Z5,49.603229,-119.677637,3,1,0,1-855-770-5627,250-494-1515,reception@ymcaokanagan.ca,http://www.ymcaworkbc.ca/,"9:00 am to 4:00 pm, Monday to Friday10:00 am to 4:00 pm, Wednesday Closed Noon to 1:00 pm",82,29,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
73,Kelowna,#102 - 1460 Pandosy Street,,Kelowna,2,V1Y 1P3,49.886964,-119.495291,1,1,1,778-478-8390,778-484-5329,info@MaximusWorkbc.ca,http://www.MaximusWorkbc.ca/,"8:00 am to 4:30 pm, 8:00 am to 4:00 pm - Resource Centre",37,30,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
74,West Kelowna,#1 - 2448 Main Street,,West Kelowna,2,V1W 4V3,49.829554,-119.627716,2,1,0,778-754-5890,778-754-5891,info@MaximusWorkbc.ca,http://www.MaximusWorkbc.ca/,"8:30 am to 4:30 pm, Monday to Friday8:00 am to 4:00 pm, Resource CentreOffices/reception desks are open until 4:30 pm Closed on Statutory Holidays",38,30,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
75,Rutland,#103 - 285 Aurora Crescent,,Kelowna,2,V1X 7N6,49.891052,-119.397883,3,1,0,778-753-6045,778-753-6046,info@MaximusWorkbc.ca,http://www.MaximusWorkbc.ca/,"8:30 am to 4:30 pm, Monday to Friday8:00 am to 4:00 pm, Resource CentreOffices/reception desks are open until 4:30 pm Closed on Statutory Holidays",72,30,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
76,Vernon,3105 33rd Street,,Vernon,2,V1T 9P7,50.264628,-119.275119,1,1,0,250-545-2215,250-545-9831,info@futuresbc.com,http://www.futuresbc.com/,8:00 am to 5:00 pm (public access is 9:00 am to 5:00 pm),99,31,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
77,Enderby,#2 - 904 Maud Street,,Enderby,2,V0E 1V0,50.550558,-119.137615,2,1,0,250 838-2324,250 838-0722,enderby@noees.com,http://www.enderbyemployment.ca/,"9:00 am to 4:00 pm, Monday to Friday",25,31,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
78,Salmon Arm,101 – 310 Hudson Avenue NE,,Salmon Arm,2,V1E 1R6,50.702039,-119.281315,1,1,0,250 804-4770,250 804-4771,info@WorkBC-SalmonArm.com,http://www.WorkBC-SalmonArm.com/,"8:30 am to 4:30pm, Monday to Friday",74,32,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
79,Revelstoke,117 Campbell Avenue,,Revelstoke,2,V0E 2S0,50.999902,-118.196569,1,1,0,250 814-0244,250 814-0256,info@WorkBC-Revelstoke.com,http://www.WorkBC-Revelstoke.com/,"8:30 am to 4:30pm, Monday to Friday",70,32,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
80,Clearwater,"Clearwater Plaza, Unit A & B 58A Young Street",,Clearwater,2,V0E 1N2,51.645433,-120.072287,1,1,0,250 674-2928,250-674-2938,info@clearwateremployment.ca,http://www.yellowheadcs.ca/,"8:00 am to 4:00 pm, Monday to Friday",15,33,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
81,Barriere,4629 Barriere Town Road,,Barriere,2,V0E 1E0,51.183071,-120.122648,2,1,0,250 672-0036,250 672-2159,mail@barriere-employment.ca,http://www.yellowheadcs.ca/,"8:00 am to 4:00 pm, Monday to Friday Closed on Statutory Holidays",5,33,https://workbc.ca/WorkBC-Centres/Cariboo/Quesnel.aspx
